alpha,beta,seed,variant,C,P,generalization_score,sample_recall_score
20.0,1.7414624691009521,3,B,8,640,0.79296875,0.6015625
20.0,0.1,4,A,8,640,0.6875,0.56640625
20.0,0.3,4,A,8,640,0.765625,0.890625
20.0,0.5,4,A,8,640,0.71875,0.94921875
20.0,1.698131799697876,4,B,8,640,0.73046875,0.65234375
50.0,0.1,0,A,8,1600,0.6328125,0.60546875
50.0,0.3,0,A,8,1600,0.83203125,0.8203125
50.0,0.5,0,A,8,1600,0.765625,0.96875
50.0,1.7423202991485596,0,B,8,1600,0.7734375,0.61328125
50.0,0.1,1,A,8,1600,0.6875,0.55859375
50.0,0.3,1,A,8,1600,0.79296875,0.78125
50.0,0.5,1,A,8,1600,0.7265625,0.91796875
50.0,1.7571384906768799,1,B,8,1600,0.78125,0.6171875
50.0,0.1,2,A,8,1600,0.6796875,0.58203125
50.0,0.3,2,A,8,1600,0.78125,0.8046875
50.0,0.5,2,A,8,1600,0.6953125,0.9296875
50.0,1.7814195156097412,2,B,8,1600,0.83984375,0.59765625
50.0,0.1,3,A,8,1600,0.703125,0.625
50.0,0.3,3,A,8,1600,0.83203125,0.8828125
50.0,0.5,3,A,8,1600,0.73828125,0.98046875
50.0,1.723326563835144,3,B,8,1600,0.76953125,0.62109375
50.0,0.1,4,A,8,1600,0.625,0.56640625
50.0,0.3,4,A,8,1600,0.7734375,0.765625
50.0,0.5,4,A,8,1600,0.71875,0.890625
50.0,1.749798059463501,4,B,8,1600,0.8203125,0.58203125
1.0,0.1,0,A,16,32,0.4375,0.9375
1.0,0.3,0,A,16,32,0.4921875,1.0
1.0,0.5,0,A,16,32,0.42578125,1.0
1.0,1.7713555097579956,0,B,16,32,0.51953125,0.82421875
1.0,0.1,1,A,16,32,0.43359375,0.86328125
1.0,0.3,1,A,16,32,0.48046875,1.0
1.0,0.5,1,A,16,32,0.4375,1.0
1.0,1.7179542779922485,1,B,16,32,0.39453125,0.8046875
1.0,0.1,2,A,16,32,0.47265625,0.87109375
1.0,0.3,2,A,16,32,0.46875,1.0
1.0,0.5,2,A,16,32,0.47265625,1.0
1.0,1.795811653137207,2,B,16,32,0.33984375,0.89453125
1.0,0.1,3,A,16,32,0.421875,0.953125
1.0,0.3,3,A,16,32,0.4921875,1.0
1.0,0.5,3,A,16,32,0.5,1.0
1.0,1.7721723318099976,3,B,16,32,0.48828125,0.8203125
1.0,0.1,4,A,16,32,0.40234375,0.9453125
1.0,0.3,4,A,16,32,0.49609375,1.0
1.0,0.5,4,A,16,32,0.46875,1.0
1.0,1.7928810119628906,4,B,16,32,0.41015625,0.80859375
5.0,0.1,0,A,16,160,0.44140625,0.6328125
5.0,0.3,0,A,16,160,0.58203125,0.97265625
5.0,0.5,0,A,16,160,0.56640625,0.96875
5.0,1.6299854516983032,0,B,16,160,0.49609375,0.68359375
5.0,0.1,1,A,16,160,0.5390625,0.71875
5.0,0.3,1,A,16,160,0.62890625,0.9921875
5.0,0.5,1,A,16,160,0.59765625,1.0
5.0,1.6862890720367432,1,B,16,160,0.51953125,0.61328125
5.0,0.1,2,A,16,160,0.546875,0.58203125
5.0,0.3,2,A,16,160,0.5625,0.94921875
5.0,0.5,2,A,16,160,0.51171875,1.0
5.0,1.6610221862792969,2,B,16,160,0.6484375,0.63671875
5.0,0.1,3,A,16,160,0.4921875,0.70703125
5.0,0.3,3,A,16,160,0.53515625,0.99609375
5.0,0.5,3,A,16,160,0.484375,1.0
5.0,1.6487176418304443,3,B,16,160,0.55078125,0.62109375
5.0,0.1,4,A,16,160,0.53125,0.71875
5.0,0.3,4,A,16,160,0.5859375,0.9765625
5.0,0.5,4,A,16,160,0.54296875,0.9921875
5.0,1.6450704336166382,4,B,16,160,0.5546875,0.6171875
10.0,0.1,0,A,16,320,0.546875,0.6953125
10.0,0.3,0,A,16,320,0.6796875,0.953125
10.0,0.5,0,A,16,320,0.6640625,0.98046875
10.0,1.630426049232483,0,B,16,320,0.56640625,0.5859375
10.0,0.1,1,A,16,320,0.55078125,0.671875
10.0,0.3,1,A,16,320,0.640625,0.94921875
10.0,0.5,1,A,16,320,0.58984375,1.0
10.0,1.6493388414382935,1,B,16,320,0.5703125,0.54296875
10.0,0.1,2,A,16,320,0.49609375,0.5625
10.0,0.3,2,A,16,320,0.6015625,0.96484375
10.0,0.5,2,A,16,320,0.53125,1.0
10.0,1.6381330490112305,2,B,16,320,0.48046875,0.56640625
10.0,0.1,3,A,16,320,0.46484375,0.546875
10.0,0.3,3,A,16,320,0.6484375,0.953125
10.0,0.5,3,A,16,320,0.64453125,0.99609375
10.0,1.6278306245803833,3,B,16,320,0.484375,0.62109375
10.0,0.1,4,A,16,320,0.4609375,0.65234375
10.0,0.3,4,A,16,320,0.56640625,0.9609375
10.0,0.5,4,A,16,320,0.5546875,1.0
10.0,1.6253265142440796,4,B,16,320,0.48046875,0.578125
20.0,0.1,0,A,16,640,0.5234375,0.62109375
20.0,0.3,0,A,16,640,0.65625,0.94921875
20.0,0.5,0,A,16,640,0.609375,0.984375
20.0,1.6762958765029907,0,B,16,640,0.578125,0.53515625
20.0,0.1,1,A,16,640,0.6171875,0.66796875
